행정구역(읍면동),종사자수,사업체수,급여총액,매출액,영업이익,종사자당 사업체수,종사자당 급여총액,종사자당 매출액,종사자당 영업이익
금당면,470.0,128.0,11071.0,42763.0,3401.0,0.2723404255319149,23.55531914893617,90.98510638297873,7.236170212765957
금산면,2310.0,700.0,34941.0,273425.0,57352.0,0.30303030303030304,15.125974025974026,118.36580086580086,24.827705627705626
금성면,4066.0,732.0,137973.0,964850.0,37061.0,0.18002951303492376,33.93334972946385,237.29709788489916,9.114854894244958
금일읍,1914.0,572.0,41486.0,244918.0,2477.0,0.2988505747126437,21.675026123301986,127.96133751306165,1.294148380355277
금정면,1105.0,382.0,22511.0,202725.0,48234.0,0.34570135746606334,20.371945701357465,183.46153846153845,43.650678733031675
금천면,4514.0,926.0,158654.0,1078324.0,43644.0,0.2051395657953035,35.14709791758972,238.88435976960568,9.668586619406291
금호동,35531.0,980.0,2621871.0,32297545.0,2452758.0,0.027581548506937604,73.79108384227857,908.9962286454082,69.03149362528497
나산면,1228.0,404.0,22308.0,112965.0,18978.0,0.3289902280130293,18.16612377850163,91.99104234527687,15.454397394136809
낙안면,1918.0,630.0,36580.0,151952.0,5524.0,0.3284671532846715,19.071949947862358,79.22419186652763,2.8800834202294054
낙월면,241.0,80.0,8664.0,189740.0,932.0,0.33195020746887965,35.95020746887967,787.3029045643153,3.867219917012448
남면,7807.0,2310.0,204247.0,1407378.0,97668.0,0.29588830536697835,26.162034071986678,180.27129499167413,12.510311259126425
남양면,738.0,310.0,15141.0,99820.0,5208.0,0.42005420054200543,20.516260162601625,135.25745257452576,7.056910569105691
남제동,5121.0,2032.0,94548.0,568019.0,74933.0,0.3967975004881859,18.462800234329233,110.9195469634837,14.632493653583284
남평읍,9218.0,2850.0,219688.0,1533520.0,110334.0,0.3091776958125407,23.83250162725103,166.36146669559557,11.969407680624865
노동면,357.0,210.0,6860.0,36659.0,5069.0,0.5882352941176471,19.215686274509803,102.68627450980392,14.198879551820728
노안면,4184.0,1148.0,144752.0,959901.0,129265.0,0.27437858508604207,34.59655831739962,229.42184512428298,30.895076481835563
노화읍,3006.0,1332.0,62553.0,383409.0,30874.0,0.4431137724550898,20.80938123752495,127.54790419161677,10.270791749833666
능주면,2779.0,784.0,74933.0,468087.0,29726.0,0.28211586901763225,26.964015833033464,168.4372076286434,10.696653472472113
다도면,1699.0,310.0,45532.0,207036.0,30251.0,0.18246027074749852,26.799293702177753,121.85756327251325,17.805179517363154
다시면,2187.0,898.0,37971.0,229834.0,19693.0,0.41060813900320076,17.362139917695472,105.0909922267947,9.004572473708276
다압면,922.0,356.0,17422.0,68386.0,8430.0,0.38611713665943603,18.89587852494577,74.17136659436008,9.143167028199565
담양읍,18566.0,6086.0,518068.0,3363714.0,245498.0,0.3278035117957557,27.904125821393947,181.17602068296887,13.222988258106216
대교동,6831.0,2588.0,115272.0,1212334.0,119610.0,0.3788610745132484,16.874835309617918,177.47533304055042,17.509881422924902
대구면,650.0,334.0,8556.0,51985.0,6067.0,0.5138461538461538,13.163076923076924,79.97692307692307,9.333846153846153
대덕면,1243.0,338.0,40871.0,211329.0,21049.0,0.2719227674979887,32.88093322606597,170.0152855993564,16.93403057119871
대덕읍,1361.0,552.0,25317.0,159515.0,24000.0,0.4055841293166789,18.6017634092579,117.20426157237326,17.63409257898604
대동면,1756.0,486.0,44939.0,261643.0,21421.0,0.2767653758542141,25.591685649202734,148.999430523918,12.19874715261959
대마면,1867.0,310.0,84986.0,1053958.0,16373.0,0.16604177825388325,45.52008569898233,564.5195500803428,8.769683985002677
대서면,834.0,352.0,13570.0,67956.0,4773.0,0.42206235011990406,16.270983213429258,81.4820143884892,5.723021582733813
대성동,1876.0,772.0,31015.0,169930.0,18790.0,0.4115138592750533,16.532515991471215,90.58102345415779,10.015991471215353
